[init] compiling model with torch.compile...
[init] model compiled, starting data generator...
[train] starting training loop, 600000 micro-steps
step     10 | loss 11.1720 | lr 2.00e-06
step   1440 | loss 2.0956 | lr 2.00e-04
step   1450 | loss 2.9184 | lr 2.00e-04
step   1460 | loss 2.9946 | lr 1.99e-04
step   1470 | loss 2.5005 | lr 1.99e-04
step   1480 | loss 2.8977 | lr 1.99e-04
step   1490 | loss 2.3350 | lr 1.99e-04
step   1500 | loss 2.3949 | lr 1.99e-04
step   1510 | loss 2.4599 | lr 1.99e-04
step   1520 | loss 3.1629 | lr 1.99e-04
step   1530 | loss 3.0105 | lr 1.99e-04
step   1540 | loss 2.6443 | lr 1.99e-04
step   1550 | loss 2.4869 | lr 1.99e-04
step   1560 | loss 3.4792 | lr 1.99e-04
step   1570 | loss 3.4881 | lr 1.99e-04
step   1580 | loss 2.9022 | lr 1.99e-04
step   1590 | loss 3.3853 | lr 1.99e-04
step   1600 | loss 2.8812 | lr 1.99e-04
step   1610 | loss 2.5112 | lr 1.99e-04
step   1620 | loss 2.1806 | lr 1.99e-04
step   1630 | loss 2.9037 | lr 1.99e-04
step   1640 | loss 2.7279 | lr 1.99e-04
step   1650 | loss 2.8993 | lr 1.99e-04
step   1660 | loss 2.8832 | lr 1.99e-04
step   1670 | loss 3.0575 | lr 1.99e-04
step   1680 | loss 2.8984 | lr 1.99e-04
step   1690 | loss 2.8825 | lr 1.99e-04
step   1700 | loss 2.8138 | lr 1.99e-04
step   1710 | loss 3.1709 | lr 1.99e-04
step   1720 | loss 2.7390 | lr 1.99e-04
step   1730 | loss 3.2316 | lr 1.99e-04
step   1740 | loss 2.9986 | lr 1.99e-04
step   1750 | loss 2.5066 | lr 1.99e-04
step   1760 | loss 2.5657 | lr 1.99e-04
step   1770 | loss 2.9721 | lr 1.99e-04
step   1780 | loss 2.2892 | lr 1.99e-04
step   1790 | loss 2.1504 | lr 1.99e-04
step   1800 | loss 2.6656 | lr 1.98e-04
step   1810 | loss 2.7321 | lr 1.98e-04
step   1820 | loss 2.4186 | lr 1.98e-04
step   1830 | loss 2.2492 | lr 1.98e-04
step   1840 | loss 3.0265 | lr 1.98e-04
step   1850 | loss 2.5885 | lr 1.98e-04
step   1860 | loss 2.3898 | lr 1.98e-04
step   1870 | loss 2.9477 | lr 1.98e-04
step   1880 | loss 2.9312 | lr 1.98e-04
step   1890 | loss 2.3111 | lr 1.98e-04
step   1900 | loss 2.8179 | lr 1.98e-04
step   1910 | loss 2.6265 | lr 1.98e-04
step   1920 | loss 2.3766 | lr 1.98e-04
step   1930 | loss 2.6219 | lr 1.98e-04
step   1940 | loss 2.0399 | lr 1.98e-04
step   1950 | loss 2.5048 | lr 1.98e-04
step   1960 | loss 2.4392 | lr 1.98e-04
step   1970 | loss 2.0778 | lr 1.98e-04
step   1980 | loss 3.0422 | lr 1.98e-04
step   1990 | loss 2.3872 | lr 1.98e-04
step   2000 | loss 2.9184 | lr 1.98e-04
step   2010 | loss 2.5876 | lr 1.98e-04
step   2020 | loss 2.5549 | lr 1.98e-04
step   2030 | loss 2.6651 | lr 1.97e-04
step   2040 | loss 2.7844 | lr 1.97e-04
step   2050 | loss 2.3003 | lr 1.97e-04
step   2060 | loss 2.4107 | lr 1.97e-04
step   2070 | loss 2.7249 | lr 1.97e-04
step   2080 | loss 2.5873 | lr 1.97e-04
step   2090 | loss 2.2461 | lr 1.97e-04
step   2100 | loss 2.8201 | lr 1.97e-04
step   2110 | loss 2.5640 | lr 1.97e-04
step   2120 | loss 2.7034 | lr 1.97estep   2130 | loss 1.6858 | lr 1.97e-04
step   2140 | loss 2.5358 | lr 1.97e-04
step   2150 | loss 2.5947 | lr 1.97e-04
step   2160 | loss 2.0642 | lr 1.97e-04
step   2170 | loss 2.3621 | lr 1.97e-04
step   2180 | loss 2.3193 | lr 1.97e-04
step   2190 | loss 2.8911 | lr 1.97e-04
step   2200 | loss 2.1036 | lr 1.97e-04
step   2210 | loss 2.3138 | lr 1.97e-04
step   2220 | loss 1.9884 | lr 1.96e-04
step   2230 | loss 2.0997 | lr 1.96e-04
